Inquisit_ID;Stimulus_Color_Matching;IAT_Score;;;;
9;MORAG_Bad_STRUAN_Good;-0.80871;;4;MORAG_Good_STRUAN_Bad;-0.251106
10;MORAG_Bad_STRUAN_Good;-0.898815;;7;MORAG_Good_STRUAN_Bad;0.298794
13;MORAG_Bad_STRUAN_Good;0.605716;;17;MORAG_Good_STRUAN_Bad;0.681658
14;MORAG_Bad_STRUAN_Good;0.711923;;18;MORAG_Good_STRUAN_Bad;-0.81934
16;MORAG_Bad_STRUAN_Good;-0.940565;;22;MORAG_Good_STRUAN_Bad;-0.240017
27;MORAG_Bad_STRUAN_Good;0.927805;;23;MORAG_Good_STRUAN_Bad;-0.301024
28;MORAG_Bad_STRUAN_Good;-0.993019;;34;MORAG_Good_STRUAN_Bad;-0.282514
29;MORAG_Bad_STRUAN_Good;0.718862;;36;MORAG_Good_STRUAN_Bad;-0.735043
30;MORAG_Bad_STRUAN_Good;-0.785443;;37;MORAG_Good_STRUAN_Bad;-0.404822
41;MORAG_Bad_STRUAN_Good;0.809456;;38;MORAG_Good_STRUAN_Bad;-118.406
43;MORAG_Bad_STRUAN_Good;0.142443;;50;MORAG_Good_STRUAN_Bad;-0.877187
45;MORAG_Bad_STRUAN_Good;-0.42576;;52;MORAG_Good_STRUAN_Bad;-0.912265
47;MORAG_Bad_STRUAN_Good;0.0130772;;55;MORAG_Good_STRUAN_Bad;-101.827
48;MORAG_Bad_STRUAN_Good;-0.10937;;56;MORAG_Good_STRUAN_Bad;-0.690665
59;MORAG_Bad_STRUAN_Good;-0.0106839;;67;MORAG_Good_STRUAN_Bad;-0.989238
60;MORAG_Bad_STRUAN_Good;0.187696;;71;MORAG_Good_STRUAN_Bad;0.624412
61;MORAG_Bad_STRUAN_Good;-0.0673527;;72;MORAG_Good_STRUAN_Bad;-0.734696
62;MORAG_Bad_STRUAN_Good;10.884;;81;MORAG_Good_STRUAN_Bad;0.198307
64;MORAG_Bad_STRUAN_Good;-0.183756;;85;MORAG_Good_STRUAN_Bad;0.632308
74;MORAG_Bad_STRUAN_Good;0.238917;;86;MORAG_Good_STRUAN_Bad;-0.292606
76;MORAG_Bad_STRUAN_Good;0.188381;;87;MORAG_Good_STRUAN_Bad;0.341244
77;MORAG_Bad_STRUAN_Good;0.688457;;97;MORAG_Good_STRUAN_Bad;-0.601194
78;MORAG_Bad_STRUAN_Good;0.38567;;98;MORAG_Good_STRUAN_Bad;-101.037
80;MORAG_Bad_STRUAN_Good;0.067572;;116;MORAG_Good_STRUAN_Bad;-0.364371
88;MORAG_Bad_STRUAN_Good;0.107235;;132;MORAG_Good_STRUAN_Bad;0.281181
89;MORAG_Bad_STRUAN_Good;10.476;;134;MORAG_Good_STRUAN_Bad;-0.643878
90;MORAG_Bad_STRUAN_Good;0.092824;;136;MORAG_Good_STRUAN_Bad;-0.288371
91;MORAG_Bad_STRUAN_Good;-0.0565436;;146;MORAG_Good_STRUAN_Bad;-0.0464443
93;MORAG_Bad_STRUAN_Good;0.462075;;150;MORAG_Good_STRUAN_Bad;-0.837194
96;MORAG_Bad_STRUAN_Good;-0.474973;;163;MORAG_Good_STRUAN_Bad;0.849033
110;MORAG_Bad_STRUAN_Good;-0.694302;;165;MORAG_Good_STRUAN_Bad;-0.163856
125;MORAG_Bad_STRUAN_Good;;;166;MORAG_Good_STRUAN_Bad;-0.41388
126;MORAG_Bad_STRUAN_Good;-0.624162;;167;MORAG_Good_STRUAN_Bad;-0.332665
127;MORAG_Bad_STRUAN_Good;0.335174;;179;MORAG_Good_STRUAN_Bad;0.4347
137;MORAG_Bad_STRUAN_Good;0.21459;;182;MORAG_Good_STRUAN_Bad;0.921976
138;MORAG_Bad_STRUAN_Good;0.440237;;193;MORAG_Good_STRUAN_Bad;-0.326378
139;MORAG_Bad_STRUAN_Good;0.464094;;194;MORAG_Good_STRUAN_Bad;-0.773728
142;MORAG_Bad_STRUAN_Good;-101.893;;195;MORAG_Good_STRUAN_Bad;-0.635344
143;MORAG_Bad_STRUAN_Good;-0.463858;;196;MORAG_Good_STRUAN_Bad;0.0669651
153;MORAG_Bad_STRUAN_Good;128.758;;197;MORAG_Good_STRUAN_Bad;-0.757699
155;MORAG_Bad_STRUAN_Good;0.630658;;199;MORAG_Good_STRUAN_Bad;-0.0402808
160;MORAG_Bad_STRUAN_Good;-0.87828;;210;MORAG_Good_STRUAN_Bad;-0.207265
173;MORAG_Bad_STRUAN_Good;0.775129;;211;MORAG_Good_STRUAN_Bad;0.0545296
175;MORAG_Bad_STRUAN_Good;-0.0616828;;212;MORAG_Good_STRUAN_Bad;0.272985
186;MORAG_Bad_STRUAN_Good;0.43881;;215;MORAG_Good_STRUAN_Bad;-0.538666
187;MORAG_Bad_STRUAN_Good;0.525467;;216;MORAG_Good_STRUAN_Bad;-0.903158
188;MORAG_Bad_STRUAN_Good;0.441501;;228;MORAG_Good_STRUAN_Bad;-0.521531
189;MORAG_Bad_STRUAN_Good;-0.322396;;230;MORAG_Good_STRUAN_Bad;0.320299
190;MORAG_Bad_STRUAN_Good;0.300987;;231;MORAG_Good_STRUAN_Bad;-0.119523
191;MORAG_Bad_STRUAN_Good;118.911;;;;
201;MORAG_Bad_STRUAN_Good;0.133065;;;;
206;MORAG_Bad_STRUAN_Good;0.59672;;;;
217;MORAG_Bad_STRUAN_Good;0.634486;;;;
218;MORAG_Bad_STRUAN_Good;-0.315889;;;;
219;MORAG_Bad_STRUAN_Good;0.661205;;;;
220;MORAG_Bad_STRUAN_Good;0.47064;;;;
221;MORAG_Bad_STRUAN_Good;0.346144;;;;
222;MORAG_Bad_STRUAN_Good;-0.518628;;;;
238;MORAG_Bad_STRUAN_Good;-0.608672;;;;
;;;;;;
;;33427,2; ; ; ;-107090